name,description,wikipedia_url,wikidata_id,birth_date,death_date,cause_of_death,manner_of_death,age_status,minimum_lifespan_days,maximum_lifespan_days,possible_age_range,occupations,wikipedia_cause_of_death,wikipedia_cause_of_death_qids,wikipedia_manner_of_death,wikipedia_manner_of_death_qids,wikipedia_occupations,wikipedia_occupation_qids,wikipedia_death_review_status
Giulio Acquaviva d'Aragona,Italian cardinal,https://en.wikipedia.org/wiki/Giulio_Acquaviva_d%27Aragona,Q2707613,1546,1574-07-31,,,possible,10074,10438,"27 years, 212 days to 28 years, 211 days",Catholic priest,,,,,,,
Claude of Valois,French princess,https://en.wikipedia.org/wiki/Claude_of_Valois,Q242336,1547-11-22,1575-03-03,puerperal disorders,natural causes,confirmed,9963,9963,"27 years, 101 days",aristocrat,,,,,,,
Juan de Salcedo,Spanish conquistador,https://en.wikipedia.org/wiki/Juan_de_Salcedo,Q722160,1549,1576-03-11,,,possible,9567,9931,"26 years, 71 days to 27 years, 70 days",conquistador; explorer,,,,,,,
Apacuana,16th-century indigenous rebel from Venezuela,https://en.wikipedia.org/wiki/Apacuana,Q53866701,1550,1577,death in battle,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
François d'Aydie,"French noble, courtier and favourite of Henri III",https://en.wikipedia.org/wiki/Fran%C3%A7ois_d%27Aydie,Q117314530,1550,1578-04-29,,,possible,9981,10345,"27 years, 119 days to 28 years, 118 days",,,,,,,,
Raffaellino da Reggio,Italian painter,https://en.wikipedia.org/wiki/Raffaellino_da_Reggio,Q1107117,1550,1578-05,,,possible,9983,10377,"27 years, 121 days to 28 years, 150 days",painter,,,,,,,
Thomas Sherwood,British martyr,https://en.wikipedia.org/wiki/Thomas_Sherwood_(martyr),Q7793938,1552,1579,"hanged, drawn, quartered and decapitated",,possible,9507,10236,"26 years, 11 days to 28 years, 9 days",politician,,,,,,,
William Norreys,English politician,https://en.wikipedia.org/wiki/William_Norreys_(Berkshire_MP),Q8016177,1552,1579-12-25,,,possible,9855,10220,"26 years, 359 days to 27 years, 358 days",politician,,,,,,,
Qvarqvaré VI Jakéli,atabeg of Samtskhe,https://en.wikipedia.org/wiki/Qvarqvare_IV_Jaqeli,Q3414883,1554,1581-11-26,,,possible,9827,10191,"26 years, 330 days to 27 years, 329 days",military personnel; official; politician,,,,,,,
Tsarevich Ivan Ivanovich of Russia,16th century Russian tsarevich,https://en.wikipedia.org/wiki/Tsarevich_Ivan_Ivanovich_of_Russia,Q1353547,1554-04-07,1581-11-29,blunt trauma,homicide,confirmed,10098,10098,"27 years, 236 days",composer,,,,,,,
William Filby,English Roman Catholic priest and martyr,https://en.wikipedia.org/wiki/William_Filby_(Roman_Catholic_priest),Q8009028,1555,1582,,capital punishment,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",politician,,,,,,,
"Elizabeth Stuart, Countess of Lennox",English countess,"https://en.wikipedia.org/wiki/Elizabeth_Cavendish,_Countess_of_Lennox",Q4206924,1555-04-20,1582,,,possible,9753,10117,"26 years, 256 days to 27 years, 255 days",godparent,,,,,,,
Tsuda Nobusumi,Japanese Ninja and member of the main Oda clan of Owari Province during the Sengoku (16th century) and Azuchi-Momoyama periods,https://en.wikipedia.org/wiki/Tsuda_Nobuzumi,Q4757680,1555,1582-07-04,,,possible,9682,10046,"26 years, 185 days to 27 years, 184 days",ninja,,,,,,,
Stephan Parmenius,,https://en.wikipedia.org/wiki/Stephanus_Parmenius,Q850841,1555,1583-08-29,,,possible,10093,10457,"27 years, 231 days to 28 years, 230 days",explorer; humanist; poet,,,,,,,
George Haydock,English priest,https://en.wikipedia.org/wiki/George_Haydock,Q5540342,1556,1584,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",,,,,,,,
Balthasar Gérard,assassin of William I of Orange,https://en.wikipedia.org/wiki/Balthasar_G%C3%A9rard,Q537169,1557,1584-07-14,torture,capital punishment,possible,9682,10046,"26 years, 186 days to 27 years, 185 days",letrado,,,,,,,
John Hambley,Cornish Catholic martyr,https://en.wikipedia.org/wiki/John_Hambley_(martyr),Q6237408,1560,1587,,capital punishment,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",politician,,,,,,,
Anne de Joyeuse,Admiral of France,https://en.wikipedia.org/wiki/Anne_de_Joyeuse,Q565927,1560,1587-10-20,,death in battle,possible,9789,10154,"26 years, 293 days to 27 years, 292 days",aristocrat,,,,,,,
Juan de Lanuza y Jiménez de Urrea,,https://en.wikipedia.org/wiki/Juan_de_Lanuza_y_Urrea,Q952682,1564,1591-11-20; 1591-12-20,decapitation,,possible,9820,10215,"26 years, 324 days to 27 years, 353 days",jurist,,,,,,,
Polydore Plasden,English Roman Catholic saint,https://en.wikipedia.org/wiki/Polydore_Plasden,Q2068996,1563,1591-12-10,"hanged, drawn, quartered and decapitated",,possible,10196,10560,"27 years, 334 days to 28 years, 333 days",Catholic priest,,,,,,,
Galeotto III Pico,,https://en.wikipedia.org/wiki/Galeotto_III_Pico_della_Mirandola,Q28374050,1564,1592,,,possible,9852,10582,"26 years, 356 days to 28 years, 355 days",military leader,,,,,,,
John Harvey,English astrologer and doctor,https://en.wikipedia.org/wiki/John_Harvey_(astrologer),Q6238135,1564,1592,,,possible,9852,10582,"26 years, 356 days to 28 years, 355 days",astrologer; physician,,,,,,,
Harada Munetoki,samurai,https://en.wikipedia.org/wiki/Harada_Munetoki,Q5653572,1565,1593,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",military commander,,,,,,,
Pierre Barrière,French assassin,https://en.wikipedia.org/wiki/Pierre_Barri%C3%A8re,Q3383881,1566,1593-08-31,execution,capital punishment,possible,9730,10094,"26 years, 233 days to 27 years, 232 days",boater; soldier,,,,,,,
Terasaka Yakuro Masatsune,Japanese priest,https://en.wikipedia.org/wiki/Akasaka_Yakuro_Masatsune,Q25345833,1567,1594,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",martial artist,,,,,,,
William Harrington,English Jesuit priest and Roman Catholic martyr,https://en.wikipedia.org/wiki/William_Harrington_(priest),Q8010909,1566,1594-02-18,"hanged, drawn, quartered and decapitated",,possible,9911,10275,"27 years, 49 days to 28 years, 48 days",politician,,,,,,,
"Henri I d'Orléans, duc de Longueville",French noble and general,"https://en.wikipedia.org/wiki/Henri_I_d%27Orl%C3%A9ans,_duc_de_Longueville",Q2789640,1568,1595-04-08,,,possible,9584,9949,"26 years, 88 days to 27 years, 87 days",military leader,,,,,,,
Valens Acidalius,German physician and humanist,https://en.wikipedia.org/wiki/Valens_Acidalius,Q66909,1567,1595-05-25,,,possible,9997,10361,"27 years, 135 days to 28 years, 134 days",critic; humanist; literary critic; philologist; poet; writer,,,,,,,
Toyotomi Hidetsugu,Japanese daimyō,https://en.wikipedia.org/wiki/Toyotomi_Hidetsugu,Q967501,1568,1595-08-20,seppuku,forced suicide,possible,9718,10083,"26 years, 222 days to 27 years, 221 days",samurai,,,,,,,
John Wemyss of Logie,Scottish courtier and spy,https://en.wikipedia.org/wiki/John_Wemyss_of_Logie,Q56760285,1569,1596,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",,,,,,,,
Juan de Zaldívar,,https://en.wikipedia.org/wiki/Juan_de_Zald%C3%ADvar_(Spanish_soldier),Q21010513,1570,1598,,homicide,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",explorer,,,,,,,
Chōsokabe Chikatada,samurai,https://en.wikipedia.org/wiki/Ch%C5%8Dsokabe_Chikatada,Q3676184,1572,1600-11-04,,,possible,10160,10525,"27 years, 299 days to 28 years, 298 days",samurai,,,,,,,
Empress Xiaocigao,empress of the Qing dynasty,https://en.wikipedia.org/wiki/Empress_Xiaocigao_(Qing_dynasty),Q1043073,1575,1603,,,possible,9853,10581,"26 years, 356 days to 28 years, 354 days",,,,,,,,
Tadhg O'Rourke,king (Lord) of West Breifne,https://en.wikipedia.org/wiki/Teigue_O%27Rourke,Q26222317,1577,1605,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Everard Digby,(1578–1606) English conspirator in the Gunpowder Plot of 1605,https://en.wikipedia.org/wiki/Everard_Digby,Q3061452,1578-05-16,1606-01,"hanged, drawn, quartered and decapitated",,confirmed,10092,10122,"27 years, 230 days to 27 years, 260 days",politician,,,,,,,
Hugh Calverley,English politician,https://en.wikipedia.org/wiki/Hugh_Calverley_(MP_for_Liverpool),Q27825554,1578,1606,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",politician,,,,,,,
Ambrose Rookwood,English conspirator,https://en.wikipedia.org/wiki/Ambrose_Rookwood,Q2842443,1578,1606-02-10,"hanged, drawn, quartered and decapitated",,possible,9903,10267,"27 years, 41 days to 28 years, 40 days",,,,,,,,
Edmund Shakespeare,brother of William Shakespeare,https://en.wikipedia.org/wiki/Edmund_Shakespeare,Q5339820,1580,1607-12-31,,,confirmed,9861,10226,"27 years, 0 days to 27 years, 364 days",stage actor,,,,,,,
Walter Davison,English poet,https://en.wikipedia.org/wiki/Walter_Davison,Q7964655,1581,1608,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",poet,,,,,,,
Nakijin Chōyō,,https://en.wikipedia.org/wiki/Nakijin_Ch%C5%8Dy%C5%8D,Q10918070,1582,1609,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Matsudaira Tadayori,[松平忠頼] daimyo of the Azuchi-Momoyama period to the early Edo period,https://en.wikipedia.org/wiki/Matsudaira_Tadayori,Q6788073,1582,1609-10-26,,,possible,9786,10150,"26 years, 289 days to 27 years, 288 days",samurai,,,,,,,
Christian II of Saxony,Elector of Saxony from 1591 to 1611 (lived 1583-1611),https://en.wikipedia.org/wiki/Christian_II_of_Saxony,Q695210,1583-09-23,1611-06-23,,,confirmed,10135,10135,"27 years, 273 days",Prince-Elector,,,,,,,
George Weymouth,English explorer in North America,https://en.wikipedia.org/wiki/George_Weymouth,Q433305,1585,1612,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",explorer,,,,,,,
Sasaki Kojirō,Japanese swordsman,https://en.wikipedia.org/wiki/Sasaki_Kojir%C5%8D,Q549737,1584,1612-04-14,,duel; homicide,possible,9966,10331,"27 years, 105 days to 28 years, 104 days",samurai,,,,,,,
Johannes Lippius,"German theologian, philosopher, composer, and music theorist",https://en.wikipedia.org/wiki/Johannes_Lippius,Q95700,1585-06-24,1612-09-20; 1612-09-24,,,confirmed,9950,9954,"27 years, 88 days to 27 years, 92 days",composer; music theorist; musicologist; philosopher; Protestant theologian; university teacher,,,,,,,
George Bryan,British actor,https://en.wikipedia.org/wiki/George_Bryan_(actor),Q5537369,1586,1613,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",actor,,,,,,,
"John Maxwell, 9th Lord Maxwell",Scottish noble,"https://en.wikipedia.org/wiki/John_Maxwell,_9th_Lord_Maxwell",Q6247269,1586,1613-05-21,,capital punishment,possible,9638,10002,"26 years, 141 days to 27 years, 140 days",politician,,,,,,,
Mohammad Baqer Mirza,Eldest son of Shah Abbas the Great and Safavid Dynasty crown prince (1587-1614),https://en.wikipedia.org/wiki/Mohammad_Baqer_Mirza,Q19896262,1587-09-15,1615-01-25,,,confirmed,9994,9994,"27 years, 132 days",,,,,,,,
Yonten Gyatso,4th Dalai Lama of Tibet,https://en.wikipedia.org/wiki/4th_Dalai_Lama,Q25255,1589,1616,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",politician; writer,,,,,,,
Ahmed I,14th Sultan of the Ottoman Empire (1603–1617),https://en.wikipedia.org/wiki/Ahmed_I,Q114749,1590-04-18,1617-11-22,typhus,natural causes,confirmed,10080,10080,"27 years, 218 days",poet; ruler; sultan; writer,,,,,,,
Jacobus Verheiden,Dutch writer,https://en.wikipedia.org/wiki/Jacobus_Verheiden,Q6119904,1590,1618,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",writer,,,,,,,
Pietro Paolo Tamburini,Italian painter,https://en.wikipedia.org/wiki/Pietro_Paolo_Tamburini,Q19288589,1594,1621,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",painter,,,,,,,
Márton Szepsi Csombor,"Hungarian travel writer, poet and reformed pastor",https://en.wikipedia.org/wiki/M%C3%A1rton_Szepsi_Csombor,Q1297362,1595,1622,plague,natural causes,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",poet; Reformed pastor; travel writer,,,,,,,
Zofia Ostrogska,Polish noble,https://en.wikipedia.org/wiki/Zofia_Ostrogska,Q4354796,1595,1622,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Francesco Carracci,Italian painter,https://en.wikipedia.org/wiki/Francesco_Carracci,Q327377,1595,1622-06-03,,,possible,9651,10015,"26 years, 154 days to 27 years, 153 days",painter,,,,,,,
Satomi Tadayoshi,daimyo of the early Edo period,https://en.wikipedia.org/wiki/Satomi_Tadayoshi,Q3473967,1594,1622-07-27,,,possible,10070,10434,"27 years, 208 days to 28 years, 207 days",samurai,,,,,,,
Henry Spelman of Jamestown,"Young English adventurer, soldier, and author in Virginia",https://en.wikipedia.org/wiki/Henry_Spelman_of_Jamestown,Q5728540,1595,1623,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",explorer; soldier,,,,,,,
"Henri de Talleyrand-Périgord, comte de Chalais",French noble,"https://en.wikipedia.org/wiki/Henri_de_Talleyrand-P%C3%A9rigord,_comte_de_Chalais",Q775123,1599,1626-08-19,decapitation,,possible,9728,10092,"26 years, 231 days to 27 years, 230 days",,,,,,,,
Juraj V Zrinski,Ban of Croaita,https://en.wikipedia.org/wiki/Juraj_V_Zrinski,Q899414,1599-01-31,1626-12-18; 1626-12-28,,,confirmed,10183,10193,"27 years, 321 days to 27 years, 331 days",military leader,,,,,,,
Jacob Cornelisz Schout,Dutch Golden Age member of the Haarlem schutterij,https://en.wikipedia.org/wiki/Jacob_Cornelisz_Schout,Q17342410,1600,1627,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
François de Montmorency-Bouteville,French noble,https://en.wikipedia.org/wiki/Fran%C3%A7ois_de_Montmorency-Bouteville,Q1451255,1600,1627-06-22,decapitation,capital punishment,possible,9669,10034,"26 years, 173 days to 27 years, 172 days",bretteur; military personnel,,,,,,,
Christina Morhaubt,victim of the witch trials in Bamberg (before 1600–1627),https://en.wikipedia.org/wiki/Christina_Morhaubt,Q1083224,1599,1627-08-04,death by burning,capital punishment,possible,10078,10442,"27 years, 216 days to 28 years, 215 days",,,,,,,,
Dodmore Cotton,English diplomat,https://en.wikipedia.org/wiki/Dodmore_Cotton,Q1234409,1600,1628-07-23,,,possible,10066,10431,"27 years, 205 days to 28 years, 204 days",diplomat,,,,,,,
Martin Blochwitz,German physician,https://en.wikipedia.org/wiki/Martin_Blochwich,Q15440724,1602,1629-09-10,,,possible,9750,10114,"26 years, 253 days to 27 years, 252 days",physician,,,,,,,
Borom Reach Somphea,King of Cambodia (1627-1634),https://en.wikipedia.org/wiki/Thommo_Reachea_II,Q2373106,1602,1630,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",king,,,,,,,
Gertrude More,nun,https://en.wikipedia.org/wiki/Gertrude_More,Q15053825,1606-03-25,1633-08-17,smallpox,natural causes,confirmed,10007,10007,"27 years, 145 days",nun,,,,,,,
"Walter Scott, 1st Earl of Buccleuch",Scottish Earl,"https://en.wikipedia.org/wiki/Walter_Scott,_1st_Earl_of_Buccleuch",Q2080432,1606,1633-10-20,,,possible,9790,10154,"26 years, 293 days to 27 years, 292 days",aristocrat,,,,,,,
Fear Brewster,American settler,https://en.wikipedia.org/wiki/Fear_Brewster,Q5439319,1606,1634,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
John Chudleigh,English politician,https://en.wikipedia.org/wiki/John_Chudleigh_(MP_for_East_Looe),Q6226105,1606-07-20,1634,,,possible,10027,10391,"27 years, 165 days to 28 years, 164 days",politician,,,,,,,
Tokugawa Tadanaga,daimyo,https://en.wikipedia.org/wiki/Tokugawa_Tadanaga,Q1135700,1606,1634-01-05,seppuku,forced suicide,possible,9867,10231,"27 years, 5 days to 28 years, 4 days",politician,,,,,,,
Dorothea of Anhalt-Zerbst,Duchess of Brunswick-Wolfenbüttel,https://en.wikipedia.org/wiki/Dorothea_of_Anhalt-Zerbst,Q66823,1607-09-25,1634-09-26,,,confirmed,9863,9863,"27 years, 1 day",aristocrat,,,,,,,
"Henry Stanhope, Lord Stanhope",English politician,"https://en.wikipedia.org/wiki/Henry_Stanhope,_Lord_Stanhope",Q1026375,1606,1634-12-09,,,possible,10205,10569,"27 years, 343 days to 28 years, 342 days",politician,,,,,,,
Zaga Christ,Ethiopian politician and traveller,https://en.wikipedia.org/wiki/Zaga_Christ,Q15647349,1610,1638-04-22,,,possible,9974,10338,"27 years, 112 days to 28 years, 111 days",politician,,,,,,,
Murad IV,the 17th Sultan of the Ottoman Empire (1623–1640),https://en.wikipedia.org/wiki/Murad_IV,Q174762,1612-07-27,1640-02-18,cirrosis,natural causes,confirmed,10077,10077,"27 years, 216 days",poet; ruler; sultan,,,,,,,
Thomas Beedome,poet,https://en.wikipedia.org/wiki/Thomas_Beedome,Q16197372,1614,1641,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",poet,,,,,,,
Dermod O'Meara,Irish poet,https://en.wikipedia.org/wiki/Dermod_O%27Meara,Q5262736,1614,1642,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",physician; poet; writer,,,,,,,
Botum Reachea I,King of Cambodia (1640-1642),https://en.wikipedia.org/wiki/Batom_Reachea,Q2891591,1615,1642-01-05,,,possible,9502,9866,"26 years, 5 days to 27 years, 4 days",king,,,,,,,
Armand d'Athos,Gascon black musketeer,https://en.wikipedia.org/wiki/Armand_d%27Athos,Q3741372,1615,1643-12-21,,duel; homicide,possible,10217,10581,"27 years, 355 days to 28 years, 354 days",musketeer,,,,,,,
John Smith,Englishman and supporter of the Royalists during the English Civil War,https://en.wikipedia.org/wiki/John_Smith_(banneret),Q6258263,1616,1644,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",Cavalier,,,,,,,
Christian of Nassau-Siegen,German count,https://en.wikipedia.org/wiki/Christian_of_Nassau-Siegen,Q107615805,1616-07-16,1644-04-11,death in battle,death in battle,confirmed,10131,10131,"27 years, 270 days",military personnel,,,,,,,
Suraj Mal,,https://en.wikipedia.org/wiki/Suraj_Mal_(Sikhism),Q139073546,1617,1645,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Lord James Douglas,Scottish noble,https://en.wikipedia.org/wiki/Lord_James_Douglas,Q16209772,1617,1645-10-21,,death in battle,possible,10156,10520,"27 years, 294 days to 28 years, 293 days",soldier,,,,,,,
Konstancja Lubomirska,Polish noble,https://en.wikipedia.org/wiki/Konstancja_Lubomirska,Q6429865,1618,1646,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Raja Jagat Singh,legendary Indian soldier during the Mughal Period,https://en.wikipedia.org/wiki/Raja_Jagat_Singh,Q7285455,1618,1646,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Moses Belmonte,Spanish poet,https://en.wikipedia.org/wiki/Moses_Belmonte,Q6915706,1619,1647-05-29,,,possible,10011,10375,"27 years, 149 days to 28 years, 148 days",poet; translator,,,,,,,
Francesco Maria Farnese,Italian cardinal,https://en.wikipedia.org/wiki/Francesco_Maria_Farnese,Q3081002,1619-08-08,1647-07-12,,,confirmed,10200,10200,"27 years, 338 days",Catholic bishop; Catholic priest,,,,,,,
Masaniello,Italian (Neapolitan) fisherman and rebel of the 17th century,https://en.wikipedia.org/wiki/Masaniello,Q735619,1620-06-29,1647-07-16,,,confirmed,9878,9878,"27 years, 17 days",fisher; rebel; revolutionary,,,,,,,
Matthew Hopkins,English witch hunter,https://en.wikipedia.org/wiki/Matthew_Hopkins,Q3239699,1620,1647-08-10; 1647-08-12,tuberculosis,natural causes,possible,9718,10085,"26 years, 222 days to 27 years, 223 days",inquisitor; lawyer; theologian,,,,,,,
"Greville Verney, 8th Baron Willoughby de Broke",English Baron,"https://en.wikipedia.org/wiki/Greville_Verney,_8th_Baron_Willoughby_de_Broke",Q5607847,1620,1648,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",,,,,,,,
Adam Hieronim Sieniawski,Polish noble,https://en.wikipedia.org/wiki/Adam_Hieronim_Sieniawski_(1623/1624%E2%80%931650),Q4679235,1623,1650-01-25,,,possible,9522,9886,"26 years, 25 days to 27 years, 24 days",,,,,,,,
Banzuiin Chōbei,Japanese street tough,https://en.wikipedia.org/wiki/Banzuiin_Ch%C5%8Db%C4%93,Q4857401,1622,1650-05-13,,homicide,possible,9995,10359,"27 years, 133 days to 28 years, 132 days",Youxia,,,,,,,
James Bellingham,English politician,https://en.wikipedia.org/wiki/James_Bellingham,Q6129636,1623-09-08,1650-10-26,,,confirmed,9910,9910,"27 years, 48 days",lawyer; politician,,,,,,,
Dong Xiaowan,Chinese poet,https://en.wikipedia.org/wiki/Dong_Xiaowan,Q6717269,1624,1651,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",courtesan; painter; poet; sing-song girls; writer,,,,,,,
"Ercole, Marquis of Baux",Monegasque prince,"https://en.wikipedia.org/wiki/Ercole,_Marquis_of_Baux",Q3133945,1623-12-16,1651-08-02,,,confirmed,10091,10091,"27 years, 229 days",politician,,,,,,,
Jeremy Shakerley,English astronomer,https://en.wikipedia.org/wiki/Jeremy_Shakerley,Q18593187,1626,1653,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",astronomer,,,,,,,
"Lewis Gordon, 3rd Marquess of Huntly",Scottish nobleman,"https://en.wikipedia.org/wiki/Lewis_Gordon,_3rd_Marquess_of_Huntly",Q716963,1626,1653,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Marusia Churai,Ukrainian musician,https://en.wikipedia.org/wiki/Marusia_Churai,Q2497569,1625,1653,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",poet; singer; writer,,,,,,,
"Henry Seymour, Lord Beauchamp",English nobleman,"https://en.wikipedia.org/wiki/Henry_Seymour,_Lord_Beauchamp",Q933212,1626,1654-03-30,,,possible,9951,10315,"27 years, 89 days to 28 years, 88 days",,,,,,,,
Anne Venn,"(bap. 1627, d. 1654), religious radical and diarist",https://en.wikipedia.org/wiki/Anne_Venn,Q18670746,1627,1654-12,,,possible,9832,10226,"26 years, 335 days to 27 years, 364 days",diarist,,,,,,,
Edward Fisher,English Christian writer,https://en.wikipedia.org/wiki/Edward_Fisher_(theologian),Q5342910,1627,1655,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",theologian,,,,,,,
Robert Shirley,"Shirley, Sir Robert, fourth baronet (1629–1656), royalist conspirator","https://en.wikipedia.org/wiki/Sir_Robert_Shirley,_4th_Baronet",Q18813347,1629,1656,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",,,,,,,,
Bartolomeo Biscaino,"Italian painter, printmaker, and draftsman",https://en.wikipedia.org/wiki/Bartolomeo_Biscaino,Q2886080,1629-04-14,1657,plague,natural causes,possible,10124,10488,"27 years, 262 days to 28 years, 261 days",draftsperson; etcher; painter; printmaker,,,,,,,
Euphemia F. Vsevolozhskaya,Russian noble,https://en.wikipedia.org/wiki/Euphemia_Fedorovna_Vsevolozhskaya,Q4127298,1629,1657,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Giovanni Paolo Cervetto,Italian painter,https://en.wikipedia.org/wiki/Giovanni_Paolo_Cervetto,Q16853424,1630,1657,plague,natural causes,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",painter,,,,,,,
Joost van Hamme,Flemish painter,https://en.wikipedia.org/wiki/Joost_van_Hamme,Q41317098,1629,1657,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",painter,,,,,,,
Peter Fisher,,https://en.wikipedia.org/wiki/Peter_Fisher_(Puritan),Q124077472,1630,1657,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Thomas Prince,prominent Leveller,https://en.wikipedia.org/wiki/Thomas_Prince_(Leveller),Q16191054,1630,1657,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Robert Baron,British writer,https://en.wikipedia.org/wiki/Robert_Baron_(poet),Q7341889,1630,1658,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",poet,,,,,,,
Lucy Walter,mistress of King Charles II of England,https://en.wikipedia.org/wiki/Lucy_Walter,Q272539,1630,1658-09,infectious disease,natural causes,possible,10106,10499,"27 years, 244 days to 28 years, 272 days",courtier,,,,,,,
Jidu,Manchurian prince,https://en.wikipedia.org/wiki/Jidu,Q7481947,1633,1660,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",military personnel; politician,,,,,,,
John Braithwaite,English Quaker,https://en.wikipedia.org/wiki/John_Braithwaite_(writer),Q16205033,1633,1660,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",writer,,,,,,,
"Sir Thomas Hope of Craighall, 3rd Bt.",(born 1633),"https://en.wikipedia.org/wiki/Sir_Thomas_Hope,_3rd_Baronet",Q76030864,1633-02-11,1660,,,possible,9820,10185,"26 years, 324 days to 27 years, 324 days",,,,,,,,
"Enno Louis, Prince of East Frisia",Frisian prince,"https://en.wikipedia.org/wiki/Enno_Louis,_Prince_of_East_Frisia",Q71449,1632-10-29,1660-04-04,,,confirmed,10019,10019,"27 years, 158 days",aristocrat,,,,,,,
Louis Chartier,Canadian surgeon,https://en.wikipedia.org/wiki/Louis_Chartier,Q3261503,1633,1660-07-20,,,possible,9698,10062,"26 years, 202 days to 27 years, 201 days",surgeon,,,,,,,
William Milborne,English politician,https://en.wikipedia.org/wiki/William_Milborne,Q8015627,1633,1660-07-22,,,possible,9700,10064,"26 years, 204 days to 27 years, 203 days",large estate owner; politician,,,,,,,
Princess Uisun,"Adopted daughter of King Hyojong of the Joseon Dynasty, daughter of Gae-yun Lee",https://en.wikipedia.org/wiki/Princess_Uisun,Q12610756,1635,1662,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Wamsutta,Native American leader,https://en.wikipedia.org/wiki/Wamsutta,Q739904,1634,1662,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",traditional leader or chief,,,,,,,
Sulaiman Shikoh,Mughal prince,https://en.wikipedia.org/wiki/Sulaiman_Shikoh,Q7635970,1635-03-15,1662-05,,,confirmed,9909,9939,"27 years, 47 days to 27 years, 77 days",,,,,,,,
"Alfonso IV d'Este, Duke of Modena",Italian noble,https://en.wikipedia.org/wiki/Alfonso_IV_d%27Este,Q932379,1634-10-14,1662-07-16,,,confirmed,10137,10137,"27 years, 275 days",aristocrat; art collector,,,,,,,
Margaret Yolande of Savoy,Duchess consort of Parma,https://en.wikipedia.org/wiki/Margaret_Yolande_of_Savoy,Q2447071,1635-11-15,1663-04-29,puerperal disorders,natural causes,confirmed,10027,10027,"27 years, 165 days",aristocrat,,,,,,,
Anthonie Beerstraaten,Dutch painter,https://en.wikipedia.org/wiki/Anthonie_Beerstraaten,Q4771917,1637,1664,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",painter,,,,,,,
Joanna Katarzyna Radziwiłł,Polish noble,https://en.wikipedia.org/wiki/Joanna_Katarzyna_Radziwi%C5%82%C5%82,Q6205864,1637,1665,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Elisabetta Sirani,Italian painter,https://en.wikipedia.org/wiki/Elisabetta_Sirani,Q271475,1638-01-08,1665-08-28,,,confirmed,10094,10094,"27 years, 232 days",etcher; painter; printmaker,,,,,,,
